Obs,count_tota,HabCode,DepthCode,HabDCode
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,4,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,6,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,8,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,6,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,7,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,9,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,8,1a,0to5,1a0to5
1,25,1a,0to5,1a0to5
1,22,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,4,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,30,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,13,1a,0to5,1a0to5
1,0,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,0,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,21,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,89,1a,0to5,1a0to5
1,110,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,32,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,8,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,34,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,23,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,6,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,32,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,14,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,4,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,11,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,115,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,9,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,8,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,9,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,11,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,7,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,4,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,4,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,35,1a,0to5,1a0to5
1,15,1a,0to5,1a0to5
1,4,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,35,1a,0to5,1a0to5
1,19,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,34,1a,0to5,1a0to5
1,6,1a,0to5,1a0to5
1,4,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,19,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,3,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,8,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,2,1a,0to5,1a0to5
1,1,1a,0to5,1a0to5
1,1,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,2,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,2,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,2,1a,5to10,1a5to10
1,2,1a,5to10,1a5to10
1,7,1a,5to10,1a5to10
1,1,1a,5to10,1a5to10
1,1,1a,10to20,1a10to20
1,1,1a,10to20,1a10to20
1,1,1a,10to20,1a10to20
1,1,1a,10to20,1a10to20
1,2,1a,10to20,1a10to20
1,1,1a,10to20,1a10to20
1,1,1a,10to20,1a10to20
1,1,1a,10to20,1a10to20
1,2,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,2,1b,0to5,1b0to5
1,11,1b,0to5,1b0to5
1,2,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,2,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,5,1b,0to5,1b0to5
1,3,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,10,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,2,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,6,1b,0to5,1b0to5
1,1,1b,0to5,1b0to5
1,15,1b,0to5,1b0to5
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,2,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,2,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,3,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,20,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,70,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,2,1b,5to10,1b5to10
1,12,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,1,1b,5to10,1b5to10
1,2,1b,10to20,1b10to20
1,1,1b,10to20,1b10to20
