FID,PU_ID,Area,Hectares,BlockID,Xcoord,Ycoord,DEPTH,BT_NUM,BT_Code,Fetch
6,38257,0.078580889,7.858088905,1,657886.2854,778486.8813,-35,1,1,62.75624929
7,38258,0.202701453,20.27014526,1,658333.6263,778383.7906,-21,1,1,74.5401613
8,38483,0.002051305,0.205130458,1,656502.4,779563.5439,0,0,0,0
9,38484,0.128896527,12.88965268,1,657798.5536,778831.2295,-17,1,1,52.75481038
10,38485,0.060693297,6.069329674,1,658204.5473,778749.4502,-9,1,1,45.63346604
11,38712,0.482934535,48.29345351,1,656697.1771,780177.9679,-24,1,1,72.73973455
12,38713,0.007841414,0.784141396,1,657080.3274,780505.2003,-29,1,1,70.57792
13,38944,0.175799763,17.57997631,1,655741.3409,781421.0995,-32,1,1,72.22732406
14,38945,0.556885921,55.68859207,1,656503.9682,781123.4277,-17,1,1,58.6934429
15,38946,0.024436606,2.443660594,1,657101.8279,780791.0549,-26,1,1,65.76252333
16,39183,0.235852958,23.5852958,1,654822.7436,782357.6457,-31,1,1,68.20739635
17,39184,0.630665693,63.06656934,1,655576.3923,782103.6945,-14,1,1,48.62263335
18,39185,0.65844,65.84400004,1,656412.9208,782131.0854,-25,2,3a,59.99190482
19,39423,0.182286519,18.22865188,1,653786.5409,783483.3554,-29,1,1,67.3185085
20,39424,0.576952026,57.69520258,1,654538.1249,783091.1287,-23,1,1,55.52264906
21,39425,0.331839907,33.18399072,1,655829.1754,783286.5088,0,1,1,37.52295945
22,39426,0.793168103,79.31681028,1,656470.785,783189.6551,-25,2,3a,55.23925997
23,39427,0.019078415,1.907841501,1,657136.2232,783592.4716,-38,2,3a,63.03907667
24,39665,0.151400392,15.1400392,1,652812.1245,784510.4109,-35,1,1,71.46353375
25,39666,0.428392733,42.83927326,1,653412.7954,784153.0899,-18,1,1,59.67651084
26,39667,0.211494204,21.14942043,1,654844.509,784427.7849,0,2,3a,23.64577315
27,39668,0.937318128,93.73181284,1,655587.1927,784172.8941,-13,2,3a,39.01560531
28,39669,0.782645589,78.26455889,1,656470.3931,784145.0325,-33,2,3a,55.17107259
29,39670,0.013307663,1.330766327,1,657146.2533,783686.7372,-34,2,3a,62.8464675
37,39914,0.00212537,0.212537004,1,651038.2674,785628.2674,0,0,0,0
38,39915,0.400424349,40.0424349,1,651686.2633,785403.7839,-33,1,1,75.13339238
39,39916,0.541899121,54.18991205,1,652472.8345,785050.6475,-18,1,1,62.55020458
40,39917,0.027013058,2.701305786,1,653136.6574,784731.6591,-5,8,1a,55.85984167
41,39918,0.637001776,63.70017758,1,654738.5608,785133.6676,0,6,2a,27.39730892
42,39919,1,100,1,655560,785150,-11,2,3a,37.59872535
43,39920,0.973163849,97.31638486,1,656546.9786,785157.2897,-25,2,3a,52.25111625
44,39921,0.154946799,15.49467994,1,657251.4966,785467.5106,-33,1,1,60.38254265
30,40173,0.362672153,36.26721532,1,650869.1438,786206.9419,-31,1,1,75.16316871
31,40174,0.863016948,86.30169485,1,651504.2199,786104.3164,-13,1,1,69.60066184
32,40175,0.026722841,2.672284145,1,652101.4047,785821.5448,0,8,1a,56.69308833
33,40176,0.092600877,9.260087663,1,654904.3235,785783.4045,0,2,3a,21.67532857
34,40177,0.144915636,14.49156364,1,655404.2287,785747.1611,0,6,2a,21.60405024
35,40178,0.456461377,45.64613769,1,656768.6255,786066.5782,-6,8,1a,40.66493411
36,40179,0.256037177,25.6037177,1,657241.2303,785983.3357,-21,1,1,58.56250981
45,40435,0.012686868,1.268686824,1,649996.3076,787568.2313,-45,1,1,75.60838
46,40436,0.721153281,72.11532806,1,650671.0751,787223.6146,-20,1,1,72.90201893
47,40437,0.420465038,42.0465038,1,651281.0157,787133.4138,-2,1,1,56.48994922
48,40438,0.371140909,37.11409086,1,656669.542,787164.9347,-5,1,1,37.97709378
49,40439,0.013612669,1.361266858,1,657099.018,786727.8302,-28,1,1,55.185195
50,40705,0.123914348,12.3914348,1,649978.1714,788282.7958,-40,1,1,73.0195065
51,40706,0.9912513,99.12513002,1,650559.8136,788146.3561,-19,1,1,67.04320409
