ParamLab,Parms,ParmLo,ParmHi,Description
beta1,0.25,0.25,0.25,Intercept
beta2,0.015,0.01,0.02,Depth fxn first order term
beta3,0.0015,0.001,0.002,Depth fxn second order term
beta4,-0.04,-0.12,0.04,"Relative dens, BotPatch = val 1"
beta5,0.13,0.08,0.17,"Relative dens, BotPatch = val 1a"
beta6,0.11,0.01,0.19,"Relative dens, BotPatch = val 1b"
beta7,0.08,-0.18,0.23,"Relative dens, BotPatch = val 2"
beta8,-0.22,-0.35,-0.11,"Relative dens, BotPatch = val 2a"
beta9,-0.22,-0.45,-0.05,"Relative dens, BotPatch = val 2b"
beta10,0.24,-0.02,0.33,"Relative dens, BotPatch = val 3"
beta11,-0.05,-0.16,0.04,"Relative dens, BotPatch = val 3a"
beta12,-0.56,-1.03,-0.21,"Relative dens, BotPatch = val 3b"
beta13,0.1,0,0.2,Effect of eelgrass presence
beta14,0.02,0,0.04,Effect of Fetch (positive value = more use of exposed coast)
