"Block","Year","Mean","lower","upper","Density"
"1",2018,10,10,10,0.205329003019235
"1",2019,13.609,11,19,0.281506063139372
"1",2020,16.583,13,24,0.345774041084392
"1",2021,19.971,14,29,0.420103140177355
"1",2022,24.087,16,36,0.506751979451472
"1",2023,28.631,17,46,0.60407792688259
"1",2024,33.671,19,55,0.711054337455611
"1",2025,39.03,21,64,0.827681211170537
"1",2026,44.122,22,74,0.937326898782808
"1",2027,48.299,20,82,1.02192244802673
"1",2028,50.617,23,89,1.06894278971814
"1",2029,53.621,23,94,1.13382675467222
"1",2030,57.996,24,106,1.23259000512447
"1",2031,60.949,24,112,1.2874128489306
"1",2032,65.064,25,122,1.36461655406584
"1",2033,69.538,29,133,1.44798012929165
"1",2034,73.77,35.7,142,1.53093304651142
"1",2035,77.412,36,148,1.60834208064967
"1",2036,82.003,36,156,1.69663355194794
"1",2037,86.274,39,166,1.78554101025527
"1",2038,90.029,41,173,1.85268359424256
"1",2039,95.19,38,194,1.9438496715831
"1",2040,100.038,40,206,2.04199693502629
"1",2041,103.484,38.95,216,2.11345142807699
"1",2042,107.544,42,220,2.19311908124845
"2",2018,0,0,0,0
"2",2019,0,0,1,0
"2",2020,0,0,1,0
"2",2021,0,0,1,0
"2",2022,0,0,1,0
"2",2023,0,0,1,0
"2",2024,0.139,0,1,0.00360413607542042
"2",2025,0.359,0,3,0.00991137420740614
"2",2026,1.61,0,10,0.0447513562698035
"2",2027,4.362,0,15,0.132151656098749
"2",2028,8.929,0,19,0.277518477807372
"2",2029,12.688,5,23,0.389847385491309
"2",2030,15.356,6,30,0.469739068496461
"2",2031,17.514,8,35,0.532210760470415
"2",2032,17.897,7,36,0.551733164212275
"2",2033,19.438,8,40,0.601590379922258
"2",2034,20.888,8,43,0.644539668154351
"2",2035,22.906,9,47,0.701905500688126
"2",2036,25.151,9,53,0.773988222196535
"2",2037,27.396,10,58,0.845169909686088
"2",2038,30.511,11,66,0.93557365624455
"2",2039,33.548,12,69,1.02507636878416
"2",2040,38.111,13,78,1.15722802488291
"2",2041,42.681,13,85,1.29748898715135
"2",2042,46.72,13,95,1.42183168175335
"3",2018,0,0,0,0
"3",2019,0,0,1,0
"3",2020,0,0,1,0
"3",2021,0,0,1,0
"3",2022,0,0,1,0
"3",2023,0,0,1,0
"3",2024,0,0,1,0
"3",2025,0,0,1,0
"3",2026,0.132,0,1,0.0062610521159175
"3",2027,0.24,0,3,0.01138373111985
"3",2028,0.271,0,2,0.0130912907878275
"3",2029,0.682,0,5,0.03415119335955
"3",2030,1.847,0,9,0.099038460742695
"3",2031,3.988,0,12,0.224828689617037
"3",2032,6.843,0,15,0.388185231186885
"3",2033,9.097,0,18,0.517390579397182
"3",2034,11.489,4,22,0.661394778063285
"3",2035,13.795,5,25,0.794015245609537
"3",2036,15.353,7,32,0.896468825688187
"3",2037,17.142,7,36,0.995507286430882
"3",2038,18.975,6.95,39,1.09796086650953
"3",2039,21.299,7,45,1.23115052061178
"3",2040,22.963,9,48,1.33246572757844
"3",2041,25.458,9,53,1.47419318002057
"3",2042,28.503,10,57,1.66145555694211
"4",2018,0,0,0,0
"4",2019,0,0,1,0
"4",2020,0,0,1,0
"4",2021,0,0,1,0
"4",2022,0,0,1,0
"4",2023,0,0,1,0
"4",2024,0,0,1,0
"4",2025,0,0,1,0
"4",2026,0,0,1,0
"4",2027,0.285,0,2,0.0106185900801549
"4",2028,1.14,0,7,0.037496896220547
"4",2029,3.04,0,12,0.0965628035414087
"4",2030,4.935,0,14,0.162928991542377
"4",2031,7.099,0,18,0.238586445863481
"4",2032,9.964,2,21,0.33382192564487
"4",2033,11.903,4.95,23,0.404170084925896
"4",2034,13.75,6,27,0.47020444198686
"4",2035,15.795,6.95,33,0.540552601267886
"4",2036,17.291,6,35,0.588004425688578
"4",2037,19.931,7,43,0.673616808209827
"4",2038,22.235,8,50,0.748942431590927
"4",2039,24.992,7,54,0.846832558892355
"4",2040,29.044,10,63,0.978901273014282
"4",2041,32.58,10,70,1.10035139705605
"4",2042,36.361,11,78,1.22478799955787
"5",2018,0,0,0,0
"5",2019,0,0,1,0
"5",2020,0,0,1,0
"5",2021,0,0,1,0
"5",2022,0,0,1,0
"5",2023,0,0,1,0
"5",2024,0,0,1,0
"5",2025,0,0,1,0
"5",2026,0,0,1,0
"5",2027,0,0,1,0
"5",2028,0,0,1,0
"5",2029,0.066,0,1,0.00526969229006384
"5",2030,0.268,0,2,0.0202004871119114
"5",2031,0.828,0,6,0.0676277177224859
"5",2032,1.902,0,8,0.169508435330387
"5",2033,3.383,0,13,0.300372460533639
"5",2034,5.667,0,16,0.513794998281224
"5",2035,8.43,0,20,0.757957407720848
"5",2036,11.589,5,24,1.0346162529492
"5",2037,13.559,6,28,1.20412468827959
"5",2038,15.353,6,31,1.37363312360997
"5",2039,17.185,6,35,1.53084561026354
"5",2040,19.573,7,42,1.74514643005947
"5",2041,21.73,9,43,1.95769068575872
"5",2042,24.406,8,50,2.18165260808643
"6",2018,0,0,0,0
"6",2019,0,0,1,0
"6",2020,0,0,1,0
"6",2021,0,0,1,0
"6",2022,0,0,1,0
"6",2023,0,0,1,0
"6",2024,0,0,1,0
"6",2025,0,0,1,0
"6",2026,0,0,1,0
"6",2027,0,0,1,0
"6",2028,0,0,1,0
"6",2029,0,0,1,0
"6",2030,0.024,0,0,0.00092571645519216
"6",2031,0.095,0,1,0.00370286582076864
"6",2032,0.258,0,2,0.0101828810071138
"6",2033,0.64,0,4,0.0268457772005726
"6",2034,1.318,0,8,0.05785727844951
"6",2035,2.324,0,10,0.106920250574695
"6",2036,3.972,0,14,0.179126134079683
"6",2037,6.121,0,18,0.283269235288801
"6",2038,9.121,0,23,0.429532435209162
"6",2039,12.587,3,27,0.590144240185002
"6",2040,15.794,5,33,0.741498880608921
"6",2041,18.739,5,40,0.885447789391301
"6",2042,22.047,7,46,1.04420816145676
"7",2018,0,0,0,0
"7",2019,0,0,1,0
"7",2020,0,0,1,0
"7",2021,0,0,1,0
"7",2022,0,0,1,0
"7",2023,0,0,1,0
"7",2024,0,0,1,0
"7",2025,0,0,1,0
"7",2026,0,0,1,0
"7",2027,0,0,1,0
"7",2028,0,0,1,0
"7",2029,0,0,1,0
"7",2030,0.022,0,0,0.000694704050354877
"7",2031,0.12,0,1,0.0045155763273067
"7",2032,0.458,0,4,0.0149361370826299
"7",2033,1.082,0,6,0.0392507788450505
"7",2034,2.311,0,10,0.079196261740456
"7",2035,3.496,0,12,0.119489096661039
"7",2036,5.216,0,16,0.178886292966381
"7",2037,7.027,0,19,0.247661993951513
"7",2038,9.822,0,25,0.347004673152261
"7",2039,13.226,3,30,0.469967290065074
"7",2040,15.864,7,33,0.55993146458603
"7",2041,18.729,7,38,0.66031619986231
"7",2042,22.114,8,46,0.775984424246397
"8",2018,0,0,0,0
"8",2019,0,0,1,0
"8",2020,0,0,1,0
"8",2021,0,0,1,0
"8",2022,0,0,1,0
"8",2023,0,0,1,0
"8",2024,0,0,1,0
"8",2025,0,0,1,0
"8",2026,0,0,1,0
"8",2027,0,0,1,0
"8",2028,0,0,1,0
"8",2029,0,0,1,0
"8",2030,0,0,1,0
"8",2031,0,0,1,0
"8",2032,0,0,1,0
"8",2033,0,0,1,0
"8",2034,0,0,1,0
"8",2035,0,0,1,0
"8",2036,0.05,0,0,0.00545834528186153
"8",2037,0.271,0,2,0.028656312729773
"8",2038,0.486,0,4,0.0586772117800114
