"Block","Area","Year","Mean","lower","upper","Density","DensityLO","DensityHI"
"1",48.702325794,2018,10,10,10,0.205329003019235,0.205329003019235,0.205329003019235
"1",48.702325794,2019,10.673,8,14,0.219619901629373,0.164263202415388,0.287460604226929
"1",48.702325794,2020,11.577,8,16,0.236005156070308,0.164263202415388,0.328526404830776
"1",48.702325794,2021,12.57,8,18,0.255388213955324,0.164263202415388,0.369592205434623
"1",48.702325794,2022,13.448,9,20,0.274401679634905,0.184796102717312,0.41065800603847
"1",48.702325794,2023,14.577,9,22,0.296166553954944,0.184796102717312,0.451723806642317
"1",48.702325794,2024,15.926,10,25,0.323187850752276,0.205329003019235,0.513322507548088
"1",48.702325794,2025,17.182,10,28,0.349305699936322,0.205329003019235,0.574921208453858
"1",48.702325794,2026,18.225,10,30,0.370783113652134,0.205329003019235,0.615987009057706
"1",48.702325794,2027,18.842,9,33,0.382445801023627,0.184796102717312,0.677585709963476
"1",48.702325794,2028,19.019,9,35,0.385854262473746,0.184796102717312,0.718651510567323
"1",48.702325794,2029,18.858,8,35,0.385074012262273,0.164263202415388,0.718651510567323
"1",48.702325794,2030,19.155,8,36,0.391028553349831,0.164263202415388,0.739184410869247
"1",48.702325794,2031,19.608,8,38,0.400391555887508,0.164263202415388,0.780250211473094
"1",48.702325794,2032,20.087,8,40,0.410000953228808,0.164263202415388,0.821316012076941
"1",48.702325794,2033,20.902,8,43,0.426591536672763,0.164263202415388,0.882914712982711
"1",48.702325794,2034,21.754,7,45,0.44236080410464,0.143730302113465,0.923980513586558
"1",48.702325794,2035,22.689,7,48,0.462195585796297,0.143730302113465,0.985579214492329
"1",48.702325794,2036,23.742,7,51,0.483015946702448,0.143730302113465,1.0471779153981
"1",48.702325794,2037,25.505,7,57,0.51430808676258,0.143730302113465,1.17037531720964
"1",48.702325794,2038,27.319,7,67,0.549255083076454,0.143730302113465,1.37570432022888
"1",48.702325794,2039,28.883,7,77,0.581245341746851,0.143730302113465,1.58103332324811
"1",48.702325794,2040,31.333,7,89,0.62970298645939,0.143730302113465,1.82742812687119
"1",48.702325794,2041,34.006,7,100,0.677749973165891,0.143730302113465,2.05329003019235
"1",48.702325794,2042,36.972,7,112,0.734749304404031,0.143730302113465,2.29968483381543
"2",33.295080288,2018,0,0,0,0,0,0
"2",33.295080288,2019,0,0,1,0,0,0.0300344672951701
"2",33.295080288,2020,0,0,1,0,0,0.0300344672951701
"2",33.295080288,2021,0,0,1,0,0,0.0300344672951701
"2",33.295080288,2022,0,0,1,0,0,0.0300344672951701
"2",33.295080288,2023,0,0,1,0,0,0.0300344672951701
"2",33.295080288,2024,0.005,0,0,0.000240275738361361,0,0
"2",33.295080288,2025,0.087,0,1,0.0037242739446011,0,0.0300344672951701
"2",33.295080288,2026,0.582,0,4,0.0197026105456316,0,0.120137869180681
"2",33.295080288,2027,1.671,0,6,0.0532210760470415,0,0.180206803771021
"2",33.295080288,2028,3.181,0,9,0.0989936042048803,0,0.270310205656531
"2",33.295080288,2029,4.417,1,11,0.135515516435807,0.0300344672951701,0.330379140246872
"2",33.295080288,2030,5.223,1,12,0.158401780514726,0.0300344672951701,0.360413607542042
"2",33.295080288,2031,5.725,1,13,0.172698186947228,0.0300344672951701,0.390448074837212
"2",33.295080288,2032,5.946,2,13,0.180807493116923,0.0600689345903403,0.390448074837212
"2",33.295080288,2033,6.368,2,14,0.19264107323122,0.0600689345903403,0.420482542132382
"2",33.295080288,2034,6.68,2,15,0.202011827027313,0.0600689345903403,0.450517009427552
"2",33.295080288,2035,7.021,2,16,0.212764166318984,0.0600689345903403,0.480551476722722
"2",33.295080288,2036,7.258,2,17,0.219972438469825,0.0600689345903403,0.510585944017892
