LCD,LCD_km,Euc_Dist,Start_X,Start_Y,Season_end,Otter,Age_Start,Sex,Ageglass,SexN,Territorial,Start_date,End_date,Days,Age_end,,,Reloc_Order_start,Reloc_Order_end,Long.Zone,Season_start,Start,,End_Windowbegin,,End_Windowend,
12590,12.59,4636,551566.97,6310660.29,2,1,3,F,1,1,F,11/17/2012,11/11/2013,359,4,,12:50:00,43,63,8,f,11/17/2012,12:01:00,9/18/2013,19:41:00,1/16/2014,18:41:00
4146,4.146,3772,556957.89,6312988.95,1,1,1,F,1,1,F,8/19/2011,9/17/2012,395,2,,8:05:00,3,39,8,f,8/19/2011,11:16:00,6/19/2012,17:56:00,10/17/2012,17:56:00
8962,8.962,7622,551712.11,6310762.95,3,1,2,F,1,1,F,5/17/2012,4/16/2013,334,3,,15:50:00,17,49,8,f,5/17/2012,19:19:00,3/19/2013,1:59:00,7/17/2013,1:59:00
24120,24.12,20383,559257.27,6308823.29,1,1,2,F,1,1,F,9/14/2012,9/9/2013,360,3,,14:20:00,38,60,8,f,9/14/2012,12:31:00,7/16/2013,19:11:00,11/13/2013,18:11:00
19025,19.025,16275,557264.22,6311145.98,1,1,2,F,1,1,F,7/23/2012,8/6/2013,379,3,,10:00:00,26,55,8,f,7/23/2012,11:35:00,5/24/2013,18:15:00,9/21/2013,18:15:00
13917,13.917,9438,549660.24,6312046.68,1,1,2,F,1,1,F,7/12/2012,8/6/2013,390,3,,10:00:00,22,55,8,f,7/12/2012,8:56:00,5/13/2013,15:36:00,9/10/2013,15:36:00
15420,15.42,13938,544098.44,6310955.43,1,1,2,F,1,1,F,4/28/2012,5/28/2013,395,3,,14:58:00,15,51,8,f,4/28/2012,13:30:00,2/27/2013,19:10:00,6/27/2013,20:10:00
9872,9.872,5613,556032.13,6316436.81,1,1,1,F,1,1,F,5/29/2011,7/24/2012,422,2,,15:45:00,2,27,8,f,5/29/2011,17:39:00,3/30/2012,0:19:00,7/28/2012,0:19:00
1200,1.2,1127,557107.8,6312623.29,1,1,1,F,1,1,F,8/23/2011,8/28/2012,371,2,,16:30:00,4,31,8,f,8/23/2011,12:00:00,6/23/2012,18:40:00,10/21/2012,18:40:00
19059,19.059,16311,557452.37,6310454.78,1,1,2,F,1,1,F,9/4/2012,7/27/2013,326,3,,10:57:00,35,53,8,f,9/4/2012,17:42:00,7/7/2013,0:22:00,11/3/2013,23:22:00
22554,22.554,19319,558261.91,6309072.53,1,1,2,F,1,1,F,9/5/2012,9/12/2013,372,3,,14:28:00,36,61,8,f,9/5/2012,11:57:00,7/7/2013,18:37:00,11/4/2013,17:37:00
7773,7.773,5833,556576.81,6313163.32,2,1,2,F,1,1,F,10/19/2011,12/13/2012,421,3,,12:01:00,5,44,8,f,10/19/2011,12:05:00,8/19/2012,18:45:00,12/17/2012,17:45:00
18857,18.857,12382,559007.98,6309163.2,2,1,3,F,1,1,F,10/25/2012,10/17/2013,357,4,,14:52:00,42,62,8,f,10/25/2012,14:43:00,8/26/2013,21:23:00,12/24/2013,20:23:00
20125,20.125,17543,558831.36,6309572.39,1,1,2,F,1,1,F,9/7/2012,8/25/2013,352,3,,12:20:00,37,59,8,f,9/7/2012,9:41:00,7/9/2013,16:21:00,11/6/2013,15:21:00
